,count,mean,std,min,25%,50%,75%,max
altitude,419878.0,448.00563830445986,3.988567817521283,291.2,446.0,448.5,450.6,482.8
accuracy,419878.0,1.0810830904256286,0.19981645133773357,0.8999999761581421,1.0,1.100000023841858,1.100000023841858,11.800000190734863
speed,419878.0,0.001882403102705726,0.03766364133491062,0.0,0.0,0.0,0.0,5.5111308097839355
bearing,419878.0,187.11643192426314,103.51301413122032,0.0,105.0999984741211,174.3300018310547,285.1300048828125,359.9200134277344
timestamp,419878.0,0.523022566310267,0.11717510724981968,0.3335300925925926,0.4161574074074074,0.4967824074074074,0.6313888888888889,0.7153935185185185
diferencalatitudeMetros,419878.0,2.542600231495815,5.414513181506534,-87.88,0.51,2.11,4.7,78.2
diferencalongitudeMetros,419878.0,0.10212252130380718,6.71782354229012,-124.37,-1.21,-0.1,1.23,134.16
constellationType1-svid,419878.0,12.970767699188812,7.673517507801592,1.0,8.0,11.0,19.0,32.0
constellationType1-svid21-azimuthDegrees,215136.0,64.7661107392533,88.58467291394062,5.0,9.0,11.0,198.0,358.0
constellationType1-svid21-elevationDegrees,215136.0,51.67571210769002,25.387693183225952,3.0,29.0,57.0,73.0,90.0
constellationType1-svid21-cn0DbHz,215136.0,40.716586731169244,4.120769407118481,0.0,38.900001525878906,41.0,42.900001525878906,50.70000076293945
constellationType1-svid21-basebandCn0DbHz,215136.0,37.22084914852462,4.080261866630673,0.0,35.400001525878906,37.5,39.400001525878906,47.20000076293945
constellationType1-svid21-carrierFrequencyHz,215136.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType1-svid8-azimuthDegrees,316488.0,199.8003715780693,116.74421176296048,0.0,99.0,134.0,334.0,359.0
constellationType1-svid8-elevationDegrees,316488.0,14.883091933975379,12.128546708248761,0.0,7.0,12.0,17.0,50.0
constellationType1-svid8-cn0DbHz,316488.0,36.18169471920508,7.349379007245717,0.0,32.29999923706055,36.79999923706055,41.5,51.099998474121094
constellationType1-svid8-basebandCn0DbHz,316488.0,32.719383346640015,7.170535276349457,0.0,28.799999237060547,33.29999923706055,38.0,47.599998474121094
constellationType1-svid8-carrierFrequencyHz,316488.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType1-svid2-azimuthDegrees,215136.0,231.74591886062768,125.69174739967632,0.0,210.0,226.0,351.0,359.0
constellationType1-svid2-elevationDegrees,215136.0,55.48334077048936,18.99546097260161,15.0,42.0,57.0,72.0,83.0
constellationType1-svid2-cn0DbHz,215136.0,40.335558896429674,4.066708655270728,0.0,38.599998474121094,40.900001525878906,42.900001525878906,49.5
constellationType1-svid2-basebandCn0DbHz,215136.0,36.842261630652224,4.002600939303416,0.0,35.099998474121094,37.400001525878906,39.400001525878906,46.0
constellationType1-svid2-carrierFrequencyHz,215136.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType1-svid32-azimuthDegrees,81096.0,138.65029101312024,2.9523336805931533,0.0,137.0,140.0,141.0,141.0
constellationType1-svid32-elevationDegrees,81096.0,16.78743711157147,9.886531683851253,0.0,8.0,16.0,25.0,36.0
constellationType1-svid32-cn0DbHz,81096.0,37.52121435338792,8.004067791279944,0.0,33.79999923706055,39.099998474121094,43.0,49.900001525878906
constellationType1-svid32-basebandCn0DbHz,81096.0,34.0740406362218,7.764209136922039,0.0,30.299999237060547,35.599998474121094,39.5,46.400001525878906
constellationType1-svid32-carrierFrequencyHz,81096.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType1-svid28-azimuthDegrees,161666.0,119.15963777170215,21.07775186877909,0.0,102.0,125.0,139.0,143.0
constellationType1-svid28-elevationDegrees,161666.0,25.38765108309725,11.21368461231608,0.0,16.0,30.0,35.0,37.0
constellationType1-svid28-cn0DbHz,161666.0,40.22678114462888,6.706606101267264,0.0,36.70000076293945,41.599998474121094,45.400001525878906,50.5
constellationType1-svid28-basebandCn0DbHz,161666.0,36.73899150035407,6.63617207822071,0.0,33.20000076293945,38.099998474121094,41.900001525878906,47.0
constellationType1-svid28-carrierFrequencyHz,161666.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType1-svid27-azimuthDegrees,73518.0,154.94148371827308,174.43420849205634,0.0,3.0,8.0,356.0,359.0
constellationType1-svid27-elevationDegrees,73518.0,15.300661062596914,9.203334403645878,0.0,7.0,15.0,23.0,33.0
constellationType1-svid27-cn0DbHz,73518.0,38.40794635204947,7.476769397255647,0.0,35.599998474121094,39.599998474121094,43.29999923706055,49.099998474121094
constellationType1-svid27-basebandCn0DbHz,73518.0,34.960504903637414,7.214283627174458,0.0,32.099998474121094,36.099998474121094,39.79999923706055,45.599998474121094
constellationType1-svid27-carrierFrequencyHz,73518.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType1-svid31-azimuthDegrees,215136.0,103.09894206455452,33.769444923081885,41.0,71.0,112.0,136.0,141.0
constellationType1-svid31-elevationDegrees,215136.0,34.807628662799345,11.783759187662934,5.0,28.0,38.0,45.0,48.0
constellationType1-svid31-cn0DbHz,215136.0,42.84100196304978,6.017732339301351,0.0,39.5,44.099998474121094,47.79999923706055,51.0
constellationType1-svid31-basebandCn0DbHz,215136.0,39.34575244575566,5.985204581388612,0.0,36.0,40.599998474121094,44.29999923706055,47.5
constellationType1-svid31-carrierFrequencyHz,215136.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType1-svid3-azimuthDegrees,296126.0,147.49312792527505,80.43043161732285,0.0,39.0,171.0,218.0,257.0
constellationType1-svid3-elevationDegrees,296126.0,38.84946272870332,17.840877394442497,0.0,26.0,37.0,55.0,65.0
constellationType1-svid3-cn0DbHz,296126.0,41.35373658120677,5.261070210221853,0.0,39.0,42.29999923706055,44.5,50.70000076293945
constellationType1-svid3-basebandCn0DbHz,296126.0,37.867636066588595,5.155358328420096,0.0,35.5,38.79999923706055,41.0,47.20000076293945
constellationType1-svid3-carrierFrequencyHz,296126.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType1-svid4-azimuthDegrees,359846.0,188.29123013733653,93.14481871196094,0.0,93.0,194.0,281.0,323.0
constellationType1-svid4-elevationDegrees,359846.0,36.21904370202809,17.563396425195638,0.0,22.0,35.0,54.0,59.0
constellationType1-svid4-cn0DbHz,359846.0,38.31289829480098,7.251271816358279,0.0,34.5,39.400001525878906,43.400001525878906,51.29999923706055
constellationType1-svid4-basebandCn0DbHz,359846.0,34.84762148010819,7.0739359244646876,0.0,31.0,35.900001525878906,39.900001525878906,47.79999923706055
constellationType1-svid4-carrierFrequencyHz,359846.0,1575420032.0,0.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0,1575420032.0
constellationType1-svid10-azimuthDegrees,65280.0,104.9734375,8.120826500183288,0.0,98.0,105.0,112.0,120.0
